Breed,Disease,Disorder,Recommended Recipes
saint bernard,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
saint bernard,"Third eyelid (nictitating membrane) abnormalities - ""cherry eye""",Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
saint bernard,Gastric dilatation-volvulus,Inherited gastrointestinal disorders,"Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag, Gastrointestinal Biome Stew for Dogs with Chicken & added Carrots Can, Gastrointestinal Biome Dry Dog Food with Chicken Bag"
saint bernard,Elbow dysplasia - OCD of the elbow,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
saint bernard,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
saint bernard,Idiopathic epilepsy,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
saint bernard,Cutaneous asthenia (Ehlers-Danlos syndrome),Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
saint bernard,sebaceous adenitis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
saluki,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
saluki,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
saluki,Lysosomal storage diseases,Inherited nervous system disorders,"l/d Dry Dog Food Original, l/d Chicken Flavor Dog Food, l/d Chicken Flavor Wet Dog Food"
saluki,colour dilution alopecia,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
saluki,Follicular dysplasias,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
samoyed,Hemophilia,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
samoyed,Atrial septal defect (ASD),Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
samoyed,Pulmonic stenosis,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
samoyed,Subaortic stenosis,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
samoyed,Familial kidney disease,Inherited disorders of the urinary and reproductive systems,"k/d Stew for Dogs, k/d Kidney Care Wet Dog Food Original Can, k/d Dog Food"
samoyed,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Inherited endocrine disorders,"Gastrointestinal Biome Dry Dog Food, Gastrointestinal Biome Wet Dog Food, Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag"
samoyed,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
samoyed,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
samoyed,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
samoyed,Corneal dystrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
samoyed,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
samoyed,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
samoyed,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
samoyed,Osteochondrodysplasia - skeletal dwarfism,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
samoyed,X-linked muscular dystrophy,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
samoyed,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
samoyed,"Hypo-/dysmyelinogenesis (""shaking pup"")",Inherited nervous system disorders,"Hypo Dog Treats, c/d Multicare Chicken Flavor Dog Food, Multi-Benefit Puppy Medium Dry Food"
samoyed,Deafness,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
samoyed,Leukodystrophies,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
samoyed,Myasthenia gravis,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
samoyed,Shaker dog syndrome,Inherited nervous system disorders,"k/d starter kit Dog Food, Healthy Weight Dog Treats, Hypoallergenic Dog Treats"
samoyed,Spina bifida,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
samoyed,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Inherited skin disorders,"Gastrointestinal Biome Dry Dog Food, Gastrointestinal Biome Wet Dog Food, Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag"
samoyed,sebaceous adenitis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
samoyed,zinc-responsive dermatosis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
schipperke,Diabetes mellitus,Inherited endocrine disorders,"w/d Dry Dog Food with Chicken, w/d Wet Dog Food with Chicken, i/d Low Fat Digestive Care Dog Food"
schipperke,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
schipperke,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
schipperke,Pemphigus,Inherited immune disorders,"Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food, Adult Beef & Barley Entrée Dog Food"
schipperke,colour dilution alopecia,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
schipperke,Follicular dysplasias,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
schipperke,Pemphigus,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
scottish deerhound,Dilated cardiomyopathy,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
scottish deerhound,Gastric dilatation-volvulus,Inherited gastrointestinal disorders,"Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag, Gastrointestinal Biome Stew for Dogs with Chicken & added Carrots Can, Gastrointestinal Biome Dry Dog Food with Chicken Bag"
scottish deerhound,Osteochondrodysplasia - skeletal dwarfism,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
scottish terrier,Hemophilia,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
scottish terrier,Histiocytoma,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
scottish terrier,von Willebrand's disease,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
scottish terrier,Pulmonic stenosis,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
scottish terrier,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
scottish terrier,Lens luxation,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
scottish terrier,Persistent pupillary membranes (PPM),Inherited eye disorders,"l/d Wet Dog Food Original, i/d Low Fat Digestive Care Wet Dog Food Original Can, k/d Kidney Care Wet Dog Food Original Can"
scottish terrier,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
scottish terrier,Chronic hepatitis,Inherited gastrointestinal disorders,"Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag, Gastrointestinal Biome Stew for Dogs with Chicken & added Carrots Can, Gastrointestinal Biome Dry Dog Food with Chicken Bag"
scottish terrier,Atopy,Inherited immune disorders,"Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food, Adult Beef & Barley Entrée Dog Food"
scottish terrier,"Craniomandibular osteopathy (""lion jaw"")",Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
scottish terrier,Scotty cramp,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
scottish terrier,Deafness,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
scottish terrier,Leukodystrophies,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
scottish terrier,Atopy,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
scottish terrier,sebaceous adenitis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
sealyham terrier,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
sealyham terrier,"Keratoconjunctivitis sicca (KCS) - ""dry eye""",Inherited eye disorders,"Derm Complete Rice & Egg Recipe Dry Dog Food, Derm Complete Puppy Dry Dog Food Original, Derm Complete Dry Dog Food Original"
sealyham terrier,Lens luxation,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
sealyham terrier,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
sealyham terrier,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
sealyham terrier,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
sealyham terrier,Deafness,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
shetland sheepdog,Hemophilia,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
shetland sheepdog,von Willebrand's disease,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
shetland sheepdog,Patent ductus arteriosus (PDA),Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
shetland sheepdog,"Cryptorchidism, retained testicle",Inherited disorders of the urinary and reproductive systems,"c/d Multicare Urinary Care Stew for Dog Food with Chicken & added Vegetables Can, c/d Multicare + Metabolic Weight Dry Dog Food, c/d Multicare Dry Dog Food with Chicken Bag"
shetland sheepdog,Hypothyroidism,Inherited endocrine disorders,"w/d Dry Dog Food with Chicken, w/d Wet Dog Food with Chicken, i/d Low Fat Digestive Care Dog Food"
shetland sheepdog,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shetland sheepdog,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shetland sheepdog,Collie eye anomaly (CEA),Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shetland sheepdog,Corneal dystrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shetland sheepdog,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shetland sheepdog,"Lupus erythematosus (systemic, cutaneous/discoid)",Inherited immune disorders,"Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food, Adult Beef & Barley Entrée Dog Food"
shetland sheepdog,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
shetland sheepdog,Deafness,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
shetland sheepdog,Idiopathic epilepsy,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
shetland sheepdog,colour dilution alopecia,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
shetland sheepdog,Dermatomyositis and ulcerative dermatosis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
shetland sheepdog,"Lupus erythematosus (systemic, cutaneous/discoid)",Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
shiba inu,Hypothyroidism,Inherited endocrine disorders,"w/d Dry Dog Food with Chicken, w/d Wet Dog Food with Chicken, i/d Low Fat Digestive Care Dog Food"
shiba inu,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
shih tzu,Tricuspid valve dysplasia,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
shih tzu,Familial kidney disease,Inherited disorders of the urinary and reproductive systems,"k/d Stew for Dogs, k/d Kidney Care Wet Dog Food Original Can, k/d Dog Food"
shih tzu,Urolithiasis (stones),Inherited disorders of the urinary and reproductive systems,"c/d Multicare Urinary Care Stew for Dog Food with Chicken & added Vegetables Can, c/d Multicare Chicken Flavor Dog Food, c/d Multicare Dry Dog Food with Chicken Bag"
shih tzu,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shih tzu,Ectropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shih tzu,Entropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shih tzu,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shih tzu,"Keratoconjunctivitis sicca (KCS) - ""dry eye""",Inherited eye disorders,"Derm Complete Rice & Egg Recipe Dry Dog Food, Derm Complete Puppy Dry Dog Food Original, Derm Complete Dry Dog Food Original"
shih tzu,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shih tzu,"Third eyelid (nictitating membrane) abnormalities - ""cherry eye""",Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shih tzu,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
shih tzu,Cleft lip/palate,Inherited gastrointestinal disorders,"Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag, Gastrointestinal Biome Stew for Dogs with Chicken & added Carrots Can, Gastrointestinal Biome Dry Dog Food with Chicken Bag"
shih tzu,Patellar luxation,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
shih tzu,Intervertebral disk disease,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
shih tzu,Hydrocephalus,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
shih tzu,Intervertebral disk disease,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
shih tzu,brachycephalic syndrome,Inherited respiratory disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
shih tzu,dermoid sinus,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
shih tzu,sebaceous adenitis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
siberian husky,Hemophilia,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
siberian husky,Tetralogy of Fallot,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
siberian husky,Ventricular septal defect (VSD),Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
siberian husky,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
siberian husky,Entropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
siberian husky,Pannus - chronic superficial keratitis,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
siberian husky,Corneal dystrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
siberian husky,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
siberian husky,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
siberian husky,"Lupus erythematosus (systemic, cutaneous/discoid)",Inherited immune disorders,"Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food, Adult Beef & Barley Entrée Dog Food"
siberian husky,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
siberian husky,Degenerative myelopathy,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
siberian husky,Laryngeal paralysis,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
siberian husky,Idiopathic epilepsy,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
siberian husky,Laryngeal paralysis,Inherited respiratory disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
siberian husky,Follicular dysplasias,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
